TICKS,CPU%
1695098811.04,700.00
1695098812.54,700.00
1695098814.04,700.00
1695098815.55,700.00
1695098817.05,700.00
1695098818.55,700.00
1695098820.05,700.00
1695098821.56,700.00
1695098823.06,700.00
1695098824.56,700.00
1695098826.06,700.00
1695098827.57,700.00
1695098829.07,700.00
1695098830.57,700.00
1695098832.07,700.00
1695098833.58,700.00
1695098835.08,700.00
1695098836.58,700.00
1695098838.08,700.00
1695098839.59,700.00
1695098841.09,700.00
1695098842.59,700.00
1695098844.10,700.00
1695098845.60,700.00
1695098847.10,700.00
1695098848.60,700.00
1695098850.10,700.00
1695098851.61,700.00
1695098853.11,700.00
1695098854.61,700.00
1695098856.11,700.00
1695098857.62,700.00
1695098859.12,700.00
1695098860.62,700.00
1695098862.12,700.00
1695098863.63,700.00
1695098865.13,700.00
1695098866.63,700.00
1695098868.13,700.00
1695098869.63,700.00
1695098871.14,700.00
1695098872.64,700.00
1695098874.14,700.00
1695098875.64,700.00
1695098877.15,700.00
1695098878.65,700.00
1695098880.15,700.00
1695098881.65,700.00
1695098883.16,700.00
1695098884.66,700.00
1695098886.16,700.00
1695098887.66,700.00
1695098889.17,700.00
1695098890.67,700.00
1695098892.17,700.00
1695098893.67,700.00
1695098895.18,700.00
1695098896.68,700.00
1695098898.18,700.00
1695098899.69,700.00
1695098901.19,700.00
1695098902.69,700.00
1695098904.19,700.00
1695098905.70,700.00
1695098907.20,700.00
1695098908.70,700.00
1695098910.20,700.00
1695098911.71,700.00
1695098913.21,700.00
1695098914.71,700.00
1695098916.21,700.00
1695098917.72,700.00
1695098919.22,700.00
1695098920.72,700.00
1695098922.22,700.00
1695098923.73,700.00
1695098925.23,700.00
1695098926.73,700.00
1695098928.24,700.00
1695098929.74,700.00
1695098931.24,700.00
1695098932.74,700.00
1695098934.25,700.00
1695098935.75,700.00
1695098937.25,700.00
1695098938.75,700.00
1695098940.26,700.00
1695098941.76,700.00
1695098943.26,700.00
1695098944.76,700.00
1695098946.27,700.00
1695098947.77,700.00
1695098949.27,700.00
1695098950.77,700.00
1695098952.28,700.00
1695098953.78,700.00
1695098955.28,700.00
1695098956.78,700.00
1695098958.29,700.00
1695098959.79,700.00
1695098961.29,700.00
1695098962.79,700.00
1695098964.30,700.00
1695098965.80,700.00
1695098967.30,700.00
1695098968.80,700.00
1695098970.31,700.00
1695098971.81,700.00
1695098973.31,700.00
1695098974.81,700.00
1695098976.32,700.00
1695098977.82,700.00
1695098979.32,700.00
1695098980.82,700.00
1695098982.33,700.00
1695098983.83,700.00
1695098985.34,700.00
1695098986.84,700.00
1695098988.34,700.00
1695098989.85,700.00
1695098991.35,700.00
1695098992.85,700.00
1695098994.35,700.00
1695098995.86,700.00
1695098997.36,700.00
1695098998.86,700.00
1695099000.36,700.00
1695099001.86,700.00
1695099003.37,700.00
1695099004.87,700.00
1695099006.37,700.00
1695099007.87,700.00
1695099009.38,700.00
1695099010.88,700.00
1695099012.38,700.00
1695099013.88,700.00
1695099015.39,700.00
1695099016.89,700.00
1695099018.39,700.00
1695099019.89,700.00
1695099021.40,700.00
1695099022.90,700.00
1695099024.40,700.00
1695099025.90,700.00
1695099027.41,700.00
1695099028.91,700.00
1695099030.41,700.00
1695099031.92,700.00
1695099033.42,700.00
1695099034.92,700.00
1695099036.42,700.00
1695099037.93,700.00
1695099039.43,700.00
1695099040.93,700.00
1695099042.43,700.00
1695099043.94,700.00
1695099045.44,700.00
1695099046.94,700.00
1695099048.44,700.00
1695099049.94,700.00
1695099051.45,700.00
1695099052.95,700.00
1695099054.45,700.00
1695099055.95,700.00
1695099057.46,700.00
1695099058.96,700.00
1695099060.46,700.00
1695099061.96,700.00
1695099063.47,700.00
1695099064.97,700.00
1695099066.47,700.00
1695099067.97,700.00
1695099069.48,700.00
1695099070.98,700.00
1695099072.48,700.00
1695099073.98,700.00
1695099075.49,700.00
1695099076.99,700.00
1695099078.49,700.00
1695099079.99,700.00
1695099081.50,700.00
1695099083.00,700.00
1695099084.50,700.00
1695099086.00,700.00
1695099087.51,700.00
1695099089.01,700.00
1695099090.51,700.00
1695099092.01,700.00
1695099093.52,700.00
1695099095.02,700.00
1695099096.52,700.00
1695099098.03,700.00
1695099099.53,700.00
1695099101.03,700.00
1695099102.53,700.00
1695099104.04,700.00
1695099105.54,700.00
1695099107.04,700.00
1695099108.54,700.00
1695099110.05,700.00
1695099111.55,700.00
1695099113.05,700.00
1695099114.55,700.00
1695099116.06,700.00
1695099117.56,700.00
1695099119.06,700.00
1695099120.56,700.00
1695099122.07,700.00
1695099123.57,700.00
1695099125.07,700.00
1695099126.57,700.00
1695099128.08,700.00
1695099129.58,700.00
1695099131.08,700.00
1695099132.58,700.00
1695099134.09,700.00
1695099135.59,700.00
1695099137.09,700.00
1695099138.59,700.00
1695099140.10,700.00
1695099141.60,700.00
1695099143.10,700.00
1695099144.60,700.00
1695099146.11,700.00
1695099147.61,700.00
1695099149.11,700.00
1695099150.61,700.00
1695099152.12,700.00
1695099153.62,700.00
1695099155.12,700.00
1695099156.62,700.00
1695099158.13,700.00
1695099159.63,700.00
1695099161.13,700.00
1695099162.63,700.00
1695099164.14,700.00
1695099165.64,700.00
1695099167.14,700.00
1695099168.64,700.00
1695099170.15,700.00
1695099171.65,700.00
1695099173.15,700.00
1695099174.65,700.00
1695099176.16,700.00
1695099177.66,700.00
1695099179.16,700.00
1695099180.66,700.00
1695099182.17,700.00
1695099183.67,700.00
1695099185.17,700.00
1695099186.67,700.00
1695099188.18,700.00
1695099189.68,700.00
1695099191.18,700.00
1695099192.68,700.00
1695099194.19,700.00
1695099195.69,700.00
1695099197.19,700.00
1695099198.69,700.00
1695099200.20,700.00
1695099201.70,700.00
1695099203.20,700.00
1695099204.71,700.00
1695099206.21,700.00
1695099207.71,700.00
1695099209.21,700.00
1695099210.71,700.00
1695099212.22,700.00
1695099213.72,700.00
1695099215.22,700.00
1695099216.73,700.00
1695099218.23,700.00
1695099219.73,700.00
1695099221.23,700.00
1695099222.74,700.00
1695099224.24,700.00
1695099225.74,700.00
1695099227.24,700.00
1695099228.75,700.00
1695099230.25,700.00
1695099231.75,700.00
1695099233.26,700.00
1695099234.76,700.00
1695099236.26,700.00
1695099237.76,700.00
1695099239.26,700.00
1695099240.77,700.00
1695099242.27,700.00
1695099243.77,700.00
1695099245.27,700.00
1695099246.78,700.00
1695099248.28,700.00
1695099249.78,700.00
1695099251.28,700.00
1695099252.79,700.00
1695099254.29,700.00
1695099255.79,700.00
1695099257.29,700.00
1695099258.80,700.00
1695099260.30,700.00
1695099261.80,700.00
1695099263.30,700.00
1695099264.80,700.00
1695099266.31,700.00
1695099267.81,700.00
1695099269.31,700.00
1695099270.81,700.00
1695099272.32,700.00
1695099273.82,700.00
1695099275.32,700.00
1695099276.82,700.00
1695099278.33,700.00
1695099279.83,700.00
1695099281.33,700.00
1695099282.83,700.00
1695099284.34,700.00
1695099285.84,700.00
1695099287.34,700.00
1695099288.84,700.00
1695099290.35,700.00
1695099291.85,700.00
1695099293.35,700.00
1695099294.85,700.00
1695099296.36,700.00
1695099297.86,700.00
1695099299.36,700.00
1695099300.86,700.00
1695099302.37,700.00
1695099303.87,700.00
1695099305.37,700.00
1695099306.87,700.00
1695099308.38,700.00
1695099309.88,700.00
1695099311.38,700.00
1695099312.88,700.00
1695099314.39,700.00
1695099315.89,700.00
1695099317.39,700.00
1695099318.89,700.00
1695099320.40,700.00
1695099321.90,700.00
1695099323.40,700.00
1695099324.90,700.00
1695099326.41,700.00
1695099327.91,700.00
1695099329.41,700.00
1695099330.91,700.00
1695099332.42,700.00
1695099333.92,700.00
1695099335.42,700.00
1695099336.92,700.00
1695099338.43,700.00
1695099339.93,700.00
1695099341.43,700.00
1695099342.93,700.00
1695099344.44,700.00
1695099345.94,700.00
1695099347.44,700.00
1695099348.94,700.00
1695099350.45,700.00
1695099351.95,700.00
1695099353.45,700.00
1695099354.95,700.00
1695099356.46,700.00
1695099357.96,700.00
1695099359.46,700.00
1695099360.96,700.00
1695099362.47,700.00
1695099363.97,700.00
1695099365.47,700.00
1695099366.97,700.00
1695099368.48,700.00
1695099369.98,700.00
