TICKS,CPU%
1697884905.09,0.00
1697884906.59,0.00
1697884908.10,2.00
1697884909.60,4.00
1697884911.10,0.00
1697884912.60,0.00
1697884914.11,0.00
1697884915.61,2.00
1697884917.11,0.00
1697884918.61,0.00
1697884920.12,0.00
1697884921.62,2.00
1697884923.12,0.00
1697884924.62,2.00
1697884926.13,0.00
1697884927.63,2.00
1697884929.13,0.00
1697884930.64,0.00
1697884932.14,0.00
1697884933.64,4.00
1697884935.14,0.00
1697884936.65,2.00
1697884938.15,0.00
1697884939.65,2.00
1697884941.16,1.90
1697884942.66,0.00
1697884944.16,0.00
1697884945.67,0.00
1697884947.17,0.00
1697884948.67,6.00
1697884950.18,0.00
1697884951.68,4.00
1697884953.18,2.00
1697884954.69,0.00
1697884956.19,2.00
1697884957.69,4.00
1697884959.20,0.00
1697884960.70,2.00
1697884962.20,0.00
1697884963.70,0.00
1697884965.21,2.00
1697884966.71,4.00
1697884968.21,35.90
1697884969.71,0.00
1697884971.22,0.00
1697884972.72,2.00
1697884974.22,15.90
1697884975.73,2.00
1697884977.23,0.00
1697884978.73,2.00
1697884980.24,2.00
1697884981.74,3.90
1697884983.24,0.00
1697884984.74,2.00
1697884986.25,0.00
1697884987.75,2.00
1697884989.25,2.00
1697884990.76,0.00
1697884992.26,2.00
1697884993.76,4.00
1697884995.27,2.00
1697884996.77,0.00
1697884998.27,0.00
1697884999.77,2.00
1697885001.27,0.00
1697885002.78,2.00
1697885004.28,2.00
1697885005.78,2.00
1697885007.28,0.00
1697885008.79,0.00
1697885010.29,0.00
1697885011.79,0.00
1697885013.30,0.00
1697885014.80,0.00
1697885016.30,0.00
1697885017.80,2.00
1697885019.31,2.00
1697885020.81,5.80
1697885022.31,2.00
1697885023.81,4.00
1697885025.32,2.00
1697885026.82,0.00
1697885028.32,2.00
1697885029.83,0.00
1697885031.33,0.00
1697885032.83,3.80
1697885034.33,2.00
1697885035.84,4.00
1697885037.34,0.00
1697885038.84,4.00
1697885040.34,7.80
1697885041.84,2.00
1697885043.35,2.00
1697885044.85,0.00
1697885046.35,3.90
1697885047.85,2.00
1697885049.36,0.00
1697885050.86,0.00
1697885052.36,2.00
1697885053.86,0.00
1697885055.37,0.00
1697885056.87,2.00
1697885058.37,2.00
1697885059.87,2.00
1697885061.38,4.00
1697885062.88,0.00
1697885064.38,0.00
1697885065.88,0.00
1697885067.39,0.00
1697885068.89,4.00
1697885070.39,4.00
1697885071.89,0.00
1697885073.40,2.00
1697885074.90,2.00
1697885076.40,0.00
1697885077.90,2.00
1697885079.41,2.00
1697885080.91,0.00
1697885082.41,2.00
1697885083.92,0.00
1697885085.42,2.00
1697885086.92,0.00
1697885088.42,0.00
1697885089.93,0.00
1697885091.43,0.00
1697885092.93,2.00
1697885094.43,4.00
1697885095.94,2.00
1697885097.44,4.00
1697885098.94,0.00
1697885100.45,0.00
1697885101.95,4.00
1697885103.45,0.00
1697885104.95,0.00
1697885106.46,0.00
1697885107.96,2.00
1697885109.46,0.00
1697885110.97,0.00
1697885112.47,2.00
1697885113.97,0.00
1697885115.47,0.00
1697885116.98,0.00
1697885118.48,4.00
1697885119.98,2.00
1697885121.49,0.00
1697885122.99,2.00
1697885124.49,0.00
1697885125.99,0.00
1697885127.50,2.00
1697885129.00,0.00
1697885130.50,2.00
1697885132.00,2.00
1697885133.51,4.00
1697885135.01,0.00
1697885136.51,2.00
1697885138.01,2.00
1697885139.52,2.00
1697885141.02,2.00
1697885142.52,0.00
1697885144.03,0.00
1697885145.53,0.00
1697885147.03,2.00
1697885148.53,2.00
1697885150.04,0.00
1697885151.54,2.00
1697885153.04,0.00
1697885154.55,4.00
1697885156.05,2.00
1697885157.55,0.00
1697885159.05,0.00
1697885160.56,2.00
1697885162.06,0.00
1697885163.56,0.00
1697885165.06,0.00
1697885166.57,0.00
1697885168.07,0.00
1697885169.57,2.00
1697885171.07,2.00
1697885172.58,0.00
1697885174.08,2.00
1697885175.58,0.00
1697885177.09,0.00
1697885178.59,0.00
1697885180.09,2.00
1697885181.59,4.00
1697885183.10,0.00
1697885184.60,0.00
1697885186.10,0.00
1697885187.60,0.00
1697885189.11,0.00
1697885190.61,2.00
1697885192.11,0.00
1697885193.61,2.00
1697885195.12,2.00
1697885196.62,2.00
1697885198.12,2.00
1697885199.62,0.00
1697885201.13,2.00
1697885202.63,0.00
1697885204.13,2.00
1697885205.63,2.00
1697885207.14,0.00
1697885208.64,2.00
1697885210.14,0.00
1697885211.65,2.00
1697885213.15,2.00
1697885214.65,2.00
1697885216.15,0.00
1697885217.66,0.00
1697885219.16,0.00
1697885220.66,2.00
1697885222.17,0.00
1697885223.67,0.00
1697885225.17,0.00
1697885226.67,0.00
1697885228.18,0.00
1697885229.68,0.00
1697885231.18,4.00
1697885232.68,3.90
1697885234.19,0.00
1697885235.69,0.00
1697885237.19,2.00
1697885238.69,0.00
1697885240.20,0.00
1697885241.70,4.00
1697885243.20,0.00
1697885244.71,2.00
1697885246.21,0.00
1697885247.71,0.00
1697885249.21,2.00
1697885250.72,0.00
1697885252.22,2.00
1697885253.72,2.00
1697885255.23,0.00
1697885256.73,0.00
1697885258.23,2.00
1697885259.73,0.00
1697885261.24,4.00
1697885262.74,0.00
1697885264.24,2.00
1697885265.74,0.00
1697885267.25,2.00
1697885268.75,2.00
1697885270.25,2.00
1697885271.76,2.00
1697885273.26,0.00
1697885274.76,0.00
1697885276.26,0.00
1697885277.77,0.00
1697885279.27,0.00
1697885280.77,2.00
1697885282.28,4.00
1697885283.78,0.00
1697885285.28,2.00
1697885286.78,2.00
1697885288.29,2.00
1697885289.79,0.00
1697885291.29,0.00
1697885292.79,0.00
1697885294.30,0.00
1697885295.80,0.00
1697885297.30,0.00
1697885298.80,2.00
1697885300.31,0.00
1697885301.81,4.00
1697885303.31,0.00
1697885304.81,2.00
1697885306.32,0.00
1697885307.82,0.00
1697885309.32,0.00
1697885310.82,0.00
1697885312.33,0.00
1697885313.83,2.00
1697885315.33,4.00
