TICKS,Net_recv,Net_sent
1697884654.60,174.48,3.99
1697884655.60,174.48,3.99
1697884656.60,174.48,3.99
1697884657.60,174.49,3.99
1697884658.60,174.49,3.99
1697884659.60,174.49,3.99
1697884660.60,174.49,3.99
1697884661.61,174.49,3.99
1697884662.61,174.49,3.99
1697884663.61,174.49,3.99
1697884664.61,174.49,3.99
1697884665.61,174.49,3.99
1697884666.61,174.49,3.99
1697884667.61,174.49,3.99
1697884668.61,174.49,3.99
1697884669.62,174.49,3.99
1697884670.62,174.49,3.99
1697884671.62,174.49,3.99
1697884672.62,174.49,3.99
1697884673.62,174.49,3.99
1697884674.62,174.49,3.99
1697884675.63,174.49,3.99
1697884676.63,174.49,3.99
1697884677.63,174.49,3.99
1697884678.63,174.49,3.99
1697884679.63,174.49,3.99
1697884680.63,174.49,3.99
1697884681.64,174.49,3.99
1697884682.64,174.49,3.99
1697884683.64,174.49,3.99
1697884684.64,174.49,3.99
1697884685.64,174.49,3.99
1697884686.64,174.49,3.99
1697884687.65,174.49,3.99
1697884688.65,174.49,3.99
1697884689.65,174.49,3.99
1697884690.65,174.49,3.99
1697884691.65,174.49,3.99
1697884692.65,174.50,3.99
1697884693.65,174.50,3.99
1697884694.66,174.50,3.99
1697884695.66,174.50,3.99
1697884696.66,174.50,3.99
1697884697.66,174.50,3.99
1697884698.66,174.50,3.99
1697884699.66,174.50,3.99
1697884700.67,174.50,3.99
1697884701.67,174.50,3.99
1697884702.67,174.50,3.99
1697884703.67,174.50,3.99
1697884704.67,174.50,3.99
1697884705.67,174.50,3.99
1697884706.68,174.50,3.99
1697884707.68,174.50,3.99
1697884708.68,174.50,3.99
1697884709.68,174.50,3.99
1697884710.68,174.50,3.99
1697884711.68,174.50,3.99
1697884712.68,174.50,3.99
1697884713.69,174.50,3.99
1697884714.69,174.50,3.99
1697884715.69,174.50,3.99
1697884716.69,174.50,3.99
1697884717.69,174.51,3.99
1697884718.69,174.51,3.99
1697884719.70,174.51,3.99
1697884720.70,174.51,3.99
1697884721.70,174.51,3.99
1697884722.70,174.51,3.99
1697884723.70,174.51,3.99
1697884724.70,174.51,3.99
1697884725.71,174.51,3.99
1697884726.71,174.51,3.99
1697884727.71,174.51,3.99
1697884728.71,174.51,3.99
1697884729.71,174.51,3.99
1697884730.71,174.51,3.99
1697884731.71,174.51,3.99
1697884732.72,174.51,3.99
1697884733.72,174.51,3.99
1697884734.72,174.51,3.99
1697884735.72,174.51,3.99
1697884736.72,174.51,3.99
1697884737.72,174.51,3.99
1697884738.73,174.51,3.99
1697884739.73,174.51,3.99
1697884740.73,174.51,3.99
1697884741.73,174.51,3.99
1697884742.73,174.51,3.99
1697884743.73,174.51,3.99
1697884744.73,174.51,3.99
1697884745.74,174.52,3.99
1697884746.74,174.52,3.99
1697884747.74,174.52,3.99
1697884748.74,174.52,3.99
1697884749.74,174.52,3.99
1697884750.74,174.52,3.99
1697884751.75,174.52,3.99
1697884752.75,174.52,3.99
1697884753.75,174.52,3.99
1697884754.75,174.52,3.99
1697884755.75,174.52,3.99
1697884756.75,174.52,3.99
1697884757.76,174.52,3.99
1697884758.76,174.52,3.99
1697884759.76,174.52,3.99
1697884760.76,174.53,3.99
1697884761.76,174.53,3.99
1697884762.76,174.53,3.99
1697884763.77,174.53,3.99
1697884764.77,174.53,3.99
1697884765.77,174.53,3.99
1697884766.77,174.53,3.99
1697884767.77,174.53,3.99
1697884768.77,174.53,3.99
1697884769.77,174.53,3.99
1697884770.78,174.53,3.99
1697884771.78,174.53,3.99
1697884772.78,174.53,3.99
1697884773.78,174.53,3.99
1697884774.78,174.53,3.99
1697884775.78,174.53,3.99
1697884776.78,174.53,3.99
1697884777.79,174.53,3.99
