TICKS,Memoryper%
1697884758.76,34.00
1697884759.76,34.00
1697884760.76,34.00
1697884761.76,34.00
1697884762.76,34.00
1697884763.77,34.00
1697884764.77,34.00
1697884765.77,34.00
1697884766.77,34.00
1697884767.77,34.00
1697884768.77,34.00
1697884769.77,34.00
1697884770.78,34.00
1697884771.78,34.00
1697884772.78,34.00
1697884773.78,34.00
1697884774.78,34.00
1697884775.78,34.00
1697884776.78,34.00
1697884777.79,34.00
1697884778.79,34.00
1697884779.79,34.00
1697884780.79,34.00
1697884781.79,33.90
1697884782.79,33.90
1697884783.79,33.90
1697884784.80,33.90
1697884785.80,33.90
1697884786.80,33.90
1697884787.80,33.90
1697884788.80,33.90
1697884789.80,33.90
1697884790.80,33.90
1697884791.80,33.90
1697884792.81,33.90
1697884793.81,33.90
1697884794.81,33.90
1697884795.81,33.90
1697884796.81,33.90
1697884797.81,33.90
1697884798.81,33.90
1697884799.82,33.90
1697884800.82,34.70
1697884801.82,34.70
1697884802.82,34.70
1697884803.82,34.70
1697884804.82,34.60
1697884805.83,34.40
1697884806.83,34.40
1697884807.83,34.40
1697884808.83,34.40
1697884809.83,34.40
1697884810.83,34.40
1697884811.84,34.40
1697884812.84,34.40
1697884813.84,34.40
1697884814.84,34.40
1697884815.84,34.40
1697884816.84,34.40
1697884817.84,34.40
1697884818.85,34.40
1697884819.85,34.40
1697884820.85,34.40
1697884821.85,34.40
1697884822.85,34.40
1697884823.85,34.40
1697884824.86,34.40
1697884825.86,34.40
1697884826.86,34.40
1697884827.86,34.40
1697884828.86,34.40
1697884829.86,34.40
1697884830.86,34.40
1697884831.87,34.40
1697884832.87,34.40
1697884833.87,34.40
1697884834.87,34.40
1697884835.87,34.40
1697884836.87,34.40
1697884837.88,34.40
1697884838.88,34.40
1697884839.88,34.40
1697884840.88,34.40
1697884841.88,34.40
1697884842.88,34.40
1697884843.89,34.40
1697884844.89,34.40
1697884845.89,34.40
1697884846.89,34.40
1697884847.89,34.40
1697884848.89,34.40
1697884849.90,34.40
1697884850.90,34.40
1697884851.90,34.40
1697884852.90,34.40
1697884853.90,34.40
1697884854.91,34.40
1697884855.91,34.40
1697884856.91,34.40
1697884857.91,34.40
1697884858.91,34.40
1697884859.91,34.40
1697884860.91,34.30
1697884861.92,34.30
1697884862.92,34.30
1697884863.92,34.30
1697884864.92,34.30
1697884865.92,34.30
1697884866.93,34.30
1697884867.93,34.30
1697884868.93,34.30
1697884869.93,34.30
1697884870.93,34.30
1697884871.93,34.30
1697884872.93,34.30
1697884873.94,34.30
1697884874.94,34.30
1697884875.94,34.30
1697884876.94,34.30
1697884877.94,34.30
1697884878.94,34.30
1697884879.94,34.30
1697884880.95,34.20
1697884881.95,34.20
1697884882.95,34.20
1697884883.95,34.20
1697884884.95,34.20
1697884885.95,34.30
1697884886.96,34.40
1697884887.96,34.40
1697884888.96,34.40
1697884889.96,34.40
1697884890.96,34.30
1697884891.96,34.30
1697884892.96,34.30
1697884893.97,34.20
1697884894.97,34.20
1697884895.97,34.20
1697884896.97,34.20
1697884897.97,34.20
1697884898.97,34.20
1697884899.98,34.20
1697884900.98,34.20
1697884901.98,34.20
1697884902.98,34.20
1697884903.98,34.20
1697884904.98,34.20
1697884905.98,34.20
1697884906.99,34.20
1697884907.99,34.20
1697884908.99,34.20
1697884909.99,34.20
1697884910.99,34.20
1697884911.99,34.20
1697884913.00,34.20
1697884914.00,34.20
1697884915.00,34.20
1697884916.00,34.20
1697884917.00,34.20
1697884918.00,34.20
1697884919.01,34.20
1697884920.01,34.20
1697884921.01,34.20
1697884922.01,34.20
1697884923.01,34.20
1697884924.01,34.20
1697884925.01,34.20
1697884926.02,34.20
1697884927.02,34.20
1697884928.02,34.20
1697884929.02,34.20
1697884930.02,34.20
1697884931.03,34.20
1697884932.03,34.20
1697884933.03,34.20
1697884934.03,34.20
1697884935.03,34.20
1697884936.03,34.20
1697884937.03,34.20
1697884938.04,34.20
1697884939.04,34.20
1697884940.04,34.20
1697884941.04,34.20
1697884942.04,34.20
1697884943.04,34.20
1697884944.04,34.20
1697884945.05,34.20
1697884946.05,34.20
1697884947.05,34.20
1697884948.05,34.20
1697884949.05,34.20
1697884950.05,34.20
1697884951.05,34.20
1697884952.06,34.20
1697884953.06,34.20
1697884954.06,34.20
1697884955.06,34.20
1697884956.06,34.20
1697884957.06,34.20
1697884958.06,34.20
1697884959.07,34.20
1697884960.07,34.20
1697884961.07,34.20
1697884962.07,34.20
1697884963.07,34.20
1697884964.07,34.20
1697884965.07,34.20
1697884966.08,34.20
1697884967.08,34.20
1697884968.08,34.20
1697884969.08,34.70
1697884970.08,34.70
1697884971.08,34.80
1697884972.08,34.80
1697884973.09,34.70
