TICKS,CPU%,Memper%,Net_recv,Net_sent
1696904985.45,4.00,32.50,352.58,14.60
1696904986.96,2.00,32.50,352.58,14.60
1696904988.46,14.10,32.20,352.58,14.60
1696904989.96,0.00,32.30,352.58,14.60
1696904991.46,6.00,32.40,352.58,14.60
1696904992.97,0.00,32.50,352.58,14.60
1696904994.47,11.80,32.20,352.58,14.60
1696904995.97,0.00,32.30,352.58,14.60
1696904997.47,4.00,32.30,352.58,14.60
1696904998.98,2.00,32.40,352.59,14.60
1696905000.48,6.00,32.40,352.59,14.60
1696905001.98,0.00,32.40,352.59,14.60
1696905003.48,12.10,32.40,352.59,14.60
1696905004.99,0.00,32.40,352.59,14.60
1696905006.49,4.00,32.40,352.59,14.60
1696905007.99,0.00,32.10,352.59,14.60
1696905009.49,8.10,32.30,352.59,14.60
1696905011.00,0.00,32.30,352.59,14.60
1696905012.50,6.10,32.40,352.59,14.60
1696905014.00,0.00,32.40,352.59,14.60
1696905015.50,6.10,32.20,352.59,14.60
1696905017.00,0.00,32.20,352.59,14.60
1696905018.51,17.60,32.30,352.59,14.60
1696905020.01,0.00,32.30,352.59,14.60
1696905021.51,7.90,32.30,352.59,14.60
1696905023.01,0.00,32.40,352.59,14.60
1696905024.52,10.10,32.40,352.59,14.60
1696905026.02,0.00,32.40,352.59,14.60
1696905027.52,4.10,32.40,352.59,14.60
1696905029.02,0.00,32.40,352.59,14.60
1696905030.53,7.90,32.40,352.59,14.60
1696905032.03,0.00,32.40,352.59,14.60
1696905033.53,12.00,32.50,352.59,14.60
1696905035.03,0.00,32.50,352.59,14.60
1696905036.53,4.00,32.50,352.59,14.60
1696905038.04,4.00,32.50,352.59,14.60
1696905039.54,8.00,32.50,352.59,14.60
1696905041.05,0.00,32.50,352.59,14.60
1696905042.55,6.00,32.20,352.59,14.60
1696905044.06,2.00,32.30,352.59,14.60
1696905045.56,7.90,32.40,352.59,14.60
1696905047.06,0.00,32.40,352.59,14.60
1696905048.56,4.00,32.60,352.59,14.60
1696905050.07,0.00,32.60,352.59,14.60
1696905051.57,7.90,32.60,352.59,14.60
1696905053.07,9.80,32.20,352.59,14.60
1696905054.58,9.90,32.40,352.59,14.60
1696905056.08,0.00,32.40,352.59,14.60
1696905057.58,4.00,32.40,352.59,14.60
1696905059.08,2.00,32.50,352.59,14.60
1696905060.59,8.10,32.60,352.59,14.60
1696905062.09,0.00,32.60,352.59,14.60
1696905063.59,9.90,32.60,352.59,14.60
1696905065.10,0.00,32.30,352.59,14.60
1696905066.60,4.00,32.40,352.59,14.60
1696905068.10,9.80,32.20,352.59,14.60
1696905069.60,8.00,32.50,352.59,14.60
1696905071.11,0.00,32.60,352.59,14.60
1696905072.61,8.00,32.60,352.59,14.60
1696905074.11,4.00,32.30,352.59,14.60
1696905075.61,7.90,32.30,352.59,14.60
1696905077.12,0.00,32.40,352.59,14.60
1696905078.62,4.00,32.40,352.59,14.60
1696905080.12,0.00,32.40,352.59,14.60
1696905081.62,6.00,32.40,352.59,14.60
1696905083.13,5.90,32.50,352.59,14.60
1696905084.63,10.10,32.20,352.59,14.60
1696905086.13,0.00,32.30,352.59,14.60
1696905087.64,10.00,32.40,352.59,14.60
1696905089.14,6.00,32.50,352.59,14.60
1696905090.64,4.10,32.50,352.59,14.60
1696905092.14,2.00,32.50,352.59,14.60
1696905093.64,49.00,33.00,352.59,14.60
1696905095.15,2.00,32.80,352.59,14.60
1696905096.65,6.00,32.80,352.59,14.60
1696905098.15,6.10,32.80,352.59,14.60
1696905099.65,8.10,32.70,352.59,14.60
1696905101.16,0.00,32.70,352.59,14.60
1696905102.66,4.00,32.40,352.59,14.60
1696905104.16,6.00,32.50,352.59,14.60
1696905105.66,26.00,32.50,352.59,14.60
1696905107.17,0.00,32.50,352.59,14.60
1696905108.67,6.00,32.60,352.59,14.60
1696905110.17,0.00,32.60,352.59,14.60
1696905111.67,2.00,32.60,352.59,14.60
1696905113.18,8.20,32.60,352.59,14.60
1696905114.68,4.10,32.60,352.59,14.60
1696905116.18,0.00,32.60,352.59,14.60
1696905117.68,20.30,32.40,352.59,14.60
1696905119.19,6.00,32.50,352.59,14.60
1696905120.69,4.00,32.10,352.59,14.60
1696905122.19,0.00,32.20,352.59,14.60
1696905123.70,5.90,32.20,352.59,14.60
1696905125.20,0.00,32.30,352.59,14.60
1696905126.70,2.00,32.40,352.59,14.60
1696905128.20,8.10,32.20,352.59,14.60
1696905129.71,22.40,32.30,352.59,14.60
1696905131.21,0.00,32.30,352.59,14.60
1696905132.71,4.00,32.30,352.59,14.60
1696905134.22,4.00,32.40,352.59,14.60
1696905135.72,4.00,32.40,352.59,14.60
1696905137.22,0.00,32.40,352.59,14.60
1696905138.72,2.00,32.40,352.59,14.60
1696905140.23,0.00,32.50,352.59,14.60
1696905141.73,22.60,32.60,352.59,14.60
1696905143.23,10.10,32.60,352.59,14.60
1696905144.74,4.00,32.20,352.59,14.60
1696905146.24,2.00,32.30,352.59,14.60
1696905147.74,4.00,32.30,352.59,14.60
1696905149.24,5.90,32.30,352.59,14.60
1696905150.75,2.00,32.40,352.59,14.60
1696905152.25,0.00,32.50,352.59,14.60
1696905153.75,25.90,32.60,352.59,14.60
1696905155.25,0.00,32.50,352.59,14.60
1696905156.76,6.00,32.30,352.59,14.60
1696905158.26,8.00,32.30,352.59,14.60
1696905159.76,6.00,32.40,352.59,14.60
1696905161.27,0.00,32.40,352.59,14.60
1696905162.77,4.00,32.20,352.59,14.60
1696905164.27,2.00,32.30,352.59,14.60
1696905165.77,22.40,32.60,352.59,14.60
1696905167.28,0.00,32.60,352.59,14.60
1696905168.78,5.90,32.60,352.59,14.60
1696905170.28,0.00,32.60,352.59,14.60
1696905171.78,5.90,32.50,352.59,14.60
1696905173.29,10.00,32.50,352.59,14.60
1696905174.79,4.00,32.30,352.59,14.60
1696905176.29,0.00,32.40,352.59,14.60
1696905177.79,23.90,32.50,352.59,14.60
1696905179.30,6.00,32.50,352.59,14.60
1696905180.80,7.90,32.50,352.59,14.60
1696905182.30,0.00,32.50,352.59,14.60
1696905183.80,5.90,32.50,352.59,14.60
1696905185.31,0.00,32.50,352.59,14.60
1696905186.81,6.00,32.60,352.59,14.60
1696905188.31,6.00,32.60,352.59,14.60
1696905189.82,22.40,32.40,352.59,14.60
1696905191.32,0.00,32.40,352.59,14.60
1696905192.82,4.00,32.40,352.59,14.60
1696905194.32,2.00,32.40,352.59,14.60
1696905195.83,2.00,32.40,352.59,14.60
1696905197.33,4.00,32.40,352.59,14.60
1696905198.83,4.00,32.50,352.59,14.60
1696905200.34,0.00,32.50,352.59,14.60
1696905201.84,20.50,32.60,352.59,14.60
1696905203.34,8.00,32.20,352.59,14.60
1696905204.84,2.10,32.30,352.59,14.60
1696905206.35,0.00,32.30,352.59,14.60
1696905207.85,2.00,32.40,352.59,14.60
1696905209.35,4.00,32.40,352.59,14.60
1696905210.86,6.00,32.40,352.59,14.60
1696905212.36,0.00,32.40,352.59,14.60
1696905213.86,24.20,32.40,352.59,14.60
1696905215.36,0.00,32.40,352.59,14.60
1696905216.87,5.90,32.40,352.59,14.60
1696905218.37,7.90,32.50,352.59,14.60
1696905219.87,10.00,32.40,352.59,14.60
1696905221.37,0.00,32.50,352.59,14.60
